count_dictionary_words,count_named_entities,count_number_date_time,future_tense,subjectivity
8,0,0,0,1
28,0,0,0,1
3,0,0,0,1
17,2,1,0,1
13,0,0,0,1
18,0,1,0,1
21,0,0,0,1
33,3,0,0,1
56,0,0,0,1
2,1,0,0,1
23,2,0,0,1
41,2,2,0,1
20,2,0,0,1
21,0,0,0,1
28,1,1,0,1
4,0,0,0,1
29,1,0,0,1
18,1,0,0,1
21,1,1,0,1
34,0,0,0,1
18,0,0,0,1
30,1,0,0,1
26,1,0,0,1
19,2,1,0,1
19,0,0,0,1
14,1,0,0,1
23,0,0,0,1
7,0,0,0,1
11,0,0,0,1
7,1,0,0,1
20,0,0,0,1
11,0,0,0,1
35,0,1,0,1
11,1,0,0,1
31,1,0,0,1
48,2,0,0,1
16,0,0,0,1
5,0,0,0,1
6,1,1,0,1
20,0,2,0,1
8,0,0,0,1
5,0,0,0,1
13,1,0,0,1
22,1,0,0,1
4,0,0,0,1
8,0,0,0,1
4,0,0,0,1
16,1,0,0,1
11,0,0,0,1
9,0,0,0,1
44,0,0,0,1
32,1,0,0,1
6,0,0,0,1
13,1,0,0,1
8,0,0,0,1
26,0,1,0,1
66,1,0,0,1
17,0,0,0,1
13,0,0,0,1
27,2,0,0,1
29,1,1,0,1
10,0,0,0,1
9,0,0,0,1
5,0,1,0,1
11,0,0,0,1
14,0,0,0,1
12,1,0,0,1
6,0,1,0,1
37,0,0,0,1
23,0,0,0,1
24,0,0,0,1
40,0,1,0,1
10,0,0,0,1
3,0,0,0,1
7,0,0,0,1
6,0,0,0,1
8,0,0,0,1
11,0,0,0,1
12,0,0,0,1
16,0,0,0,1
20,0,1,0,1
66,0,0,0,1
7,0,0,0,1
11,0,1,0,1
9,0,0,0,1
11,2,0,0,1
8,0,1,0,1
50,1,2,0,1
4,0,0,0,1
39,0,0,0,1
9,0,0,0,1
7,0,0,0,1
30,0,0,0,1
6,1,0,0,1
33,2,0,0,1
24,0,0,0,1
29,1,0,0,1
34,0,0,0,1
15,0,1,0,1
10,0,0,0,1
28,1,1,0,1
19,0,0,0,1
8,1,0,0,1
21,0,0,0,1
4,0,0,0,1
23,0,0,0,1
4,0,0,0,1
26,0,0,0,1
3,1,0,0,1
48,0,0,0,1
15,0,0,0,1
6,0,0,0,1
6,2,0,0,1
28,0,0,0,1
5,0,0,0,1
17,1,0,0,1
22,0,0,0,1
4,0,0,0,1
30,1,0,0,1
37,0,0,0,1
6,0,0,0,1
5,0,0,0,1
33,0,0,0,1
50,0,0,0,1
32,1,1,0,1
45,0,0,0,1
5,1,0,0,1
2,0,0,0,1
8,0,0,0,1
1,2,0,0,1
19,0,0,0,1
37,1,0,0,1
14,0,0,0,1
13,0,0,0,1
8,0,0,0,1
19,0,0,0,1
24,1,1,0,1
6,0,0,0,1
44,0,0,0,1
9,0,0,0,1
20,1,0,0,1
30,0,0,0,1
13,0,0,0,1
15,0,0,0,1
9,0,0,0,1
25,0,0,0,1
18,1,0,0,1
4,0,0,0,1
10,0,0,0,1
11,0,0,0,1
6,0,0,0,1
20,0,0,0,1
13,0,0,0,1
16,0,0,0,1
30,0,0,0,1
36,1,0,0,1
8,0,0,0,1
59,2,0,0,1
1,0,0,0,1
13,0,1,0,1
32,2,0,0,1
45,3,0,0,1
30,1,0,0,1
4,0,0,0,1
25,0,0,0,1
17,0,0,0,1
7,0,0,0,1
45,0,0,0,1
44,0,0,0,1
13,1,0,0,1
16,1,1,0,1
37,1,0,0,1
24,1,0,0,1
28,0,1,0,1
78,2,0,0,1
4,0,0,0,1
29,0,0,0,1
36,2,0,0,1
35,0,0,0,1
17,2,0,0,1
4,0,0,0,1
16,1,0,0,1
53,7,0,0,1
24,1,1,0,1
19,0,0,0,1
6,1,0,0,1
21,0,0,0,1
36,0,0,0,1
5,1,0,0,1
12,1,0,0,1
20,0,0,0,1
26,1,1,0,1
15,0,1,0,1
50,1,1,0,1
22,1,0,0,1
30,1,0,0,1
42,1,1,0,1
8,0,0,0,1
19,2,1,0,1
9,0,0,0,1
6,0,0,0,1
6,0,0,0,1
18,0,1,0,1
6,0,0,0,1
34,1,0,0,1
6,0,0,0,1
50,2,0,0,1
30,1,0,0,1
6,1,1,0,1
14,1,0,0,1
6,0,0,0,1
18,0,0,0,1
70,3,0,0,1
13,0,0,0,1
52,1,1,0,1
16,0,0,0,1
3,0,0,0,1
6,0,0,0,1
41,0,1,0,1
18,0,0,0,1
26,0,0,0,1
29,1,1,0,1
14,0,0,0,1
19,0,1,0,1
15,0,1,0,1
14,0,1,0,1
7,0,0,0,1
13,0,0,0,1
19,1,0,0,1
25,1,0,0,1
7,0,0,0,1
18,0,0,0,1
20,0,0,0,1
62,3,0,0,1
42,2,1,0,1
19,0,0,0,1
16,1,0,0,1
18,0,0,0,1
19,0,0,0,1
17,0,0,0,1
22,0,1,0,1
62,0,2,0,1
39,5,0,0,1
11,0,0,0,1
6,0,0,0,1
11,0,1,0,1
26,1,0,0,1
14,1,0,0,1
34,1,0,0,1
20,0,0,0,1
16,0,0,0,1
39,2,0,0,1
8,0,0,0,1
20,1,0,0,1
31,0,1,0,1
15,0,0,0,1
9,0,0,0,1
22,1,0,0,1
8,0,0,0,1
35,2,0,0,1
15,1,1,0,1
33,0,2,0,1
49,1,0,0,1
35,0,1,0,1
6,0,0,0,1
6,0,0,0,1
15,0,0,0,1
5,1,0,0,1
30,1,0,0,1
21,0,0,0,1
29,0,0,0,1
16,0,0,0,1
16,0,0,0,1
9,1,0,0,1
7,0,0,0,1
29,0,0,0,1
5,0,0,0,1
20,0,2,0,1
23,0,0,0,1
6,0,0,0,1
16,0,0,0,1
16,0,0,0,1
7,0,0,0,1
5,0,0,0,1
25,0,0,0,1
32,0,0,0,1
31,1,1,0,1
56,4,0,0,1
10,1,0,0,1
21,0,0,0,1
9,0,0,0,1
18,0,0,0,1
10,0,0,0,1
12,1,0,0,1
10,0,0,0,1
17,0,0,0,1
20,0,0,0,1
8,0,0,0,1
13,1,0,0,1
40,2,0,0,1
23,0,0,0,1
12,0,0,0,1
9,1,0,0,1
22,0,0,0,1
4,1,0,0,1
10,0,0,0,1
14,0,0,0,1
28,0,0,0,1
28,0,0,0,1
17,0,0,0,1
7,2,0,0,1
14,0,1,0,1
19,0,0,0,1
19,0,0,0,1
6,0,0,0,1
16,0,0,0,1
11,0,0,0,1
17,1,0,0,1
66,2,1,0,1
27,1,0,0,1
6,1,0,0,1
9,0,0,0,1
12,1,0,0,1
20,0,0,0,1
6,0,0,0,1
21,1,0,0,1
27,1,0,0,1
28,0,0,0,1
16,0,0,0,1
6,0,0,0,1
10,0,0,0,1
32,1,0,0,1
49,1,0,0,1
50,1,1,0,1
32,0,0,0,1
11,0,1,0,1
18,0,0,0,1
18,0,1,0,1
17,1,1,0,1
18,1,0,0,1
45,0,1,0,1
15,0,0,0,1
3,1,0,0,1
4,0,0,0,1
29,1,0,0,1
13,1,0,0,1
19,0,0,0,1
73,1,3,0,1
23,1,0,0,1
17,0,0,0,1
12,0,0,0,1
8,0,0,0,1
18,0,0,0,1
10,0,0,0,1
18,0,0,0,1
27,0,0,0,1
20,0,0,0,1
40,0,0,0,1
9,0,0,0,1
11,1,0,0,1
15,0,0,0,1
47,0,0,0,1
7,0,0,0,1
35,0,0,0,1
5,1,0,0,1
16,0,0,0,1
10,0,0,0,1
24,1,0,0,1
29,0,0,0,1
25,0,0,0,1
34,1,0,0,1
12,0,0,0,1
6,0,0,0,1
9,0,0,0,1
9,0,0,0,1
7,0,0,0,1
7,0,0,0,1
24,0,1,0,1
7,0,0,0,1
281,10,1,0,1
12,0,0,0,1
8,0,0,0,1
24,0,0,0,1
24,2,0,0,1
5,1,0,0,1
5,0,0,0,1
7,0,0,0,1
9,0,0,0,1
23,0,0,0,1
27,1,0,0,1
7,0,0,0,1
8,1,0,0,1
24,1,0,0,1
24,1,0,0,1
10,0,0,0,1
20,0,0,0,1
31,3,0,0,1
38,0,2,0,1
13,0,0,0,1
47,2,0,0,1
17,1,0,0,1
40,1,1,0,1
21,0,0,0,1
25,0,0,0,1
9,3,0,0,1
18,4,0,0,1
5,0,0,0,1
16,0,0,0,1
34,2,1,0,1
9,2,0,0,1
10,0,0,0,1
45,3,0,0,1
37,0,0,0,1
18,0,0,0,1
12,0,0,0,1
14,0,0,0,1
22,0,0,0,1
7,0,0,0,1
30,3,1,0,1
9,0,0,0,1
9,0,0,0,1
33,1,0,0,1
18,0,0,0,1
11,0,0,0,1
20,0,0,0,1
29,1,0,0,1
23,0,0,0,1
8,0,0,0,1
6,0,0,0,1
12,0,0,0,1
9,0,0,0,1
11,1,0,0,1
5,0,0,0,1
2,1,0,0,1
18,0,0,0,1
4,0,0,0,1
13,0,1,0,1
32,0,0,0,1
5,0,0,0,1
54,7,0,0,1
15,0,0,0,1
14,0,1,0,1
13,0,0,0,1
17,1,0,0,1
13,0,0,0,1
43,4,0,0,1
19,0,0,0,1
10,0,0,0,1
26,2,1,0,1
18,0,1,0,1
22,1,1,0,1
18,0,2,0,1
4,1,0,0,1
24,2,0,0,1
14,0,0,0,1
21,1,1,0,1
18,1,0,0,1
1,1,0,0,1
8,2,0,0,1
4,0,1,0,1
13,0,0,0,1
9,1,0,0,1
20,0,0,0,1
17,0,1,0,1
32,0,0,0,1
45,3,0,0,1
40,1,0,0,1
142,4,1,0,1
18,0,1,0,1
23,1,0,0,1
12,0,0,0,1
25,0,0,0,1
63,1,1,0,1
48,0,0,0,1
22,0,0,0,1
9,0,0,0,1
24,1,0,0,1
42,3,0,0,1
59,1,0,0,1
5,0,0,0,1
8,0,0,0,1
5,0,0,0,1
35,1,0,0,1
49,5,0,0,1
40,2,0,0,1
4,1,0,0,1
22,0,0,0,1
28,1,0,0,1
22,0,1,0,1
14,0,0,0,1
13,0,0,0,1
22,0,0,0,1
15,0,0,0,1
24,0,0,0,1
34,1,0,0,1
36,1,0,0,1
20,1,0,0,1
30,0,0,0,1
22,0,0,0,1
18,0,0,0,1
7,0,0,0,1
14,3,1,0,1
12,1,0,0,1
19,1,0,0,1
19,0,0,0,1
8,0,1,0,1
9,0,0,0,1
55,2,1,0,1
4,0,0,0,1
18,0,0,0,1
63,1,1,0,1
23,0,0,0,1
5,1,0,0,1
9,0,0,0,1
44,0,0,0,1
22,0,0,0,1
4,1,0,0,1
12,0,1,0,1
21,0,0,0,1
49,1,0,0,1
91,8,1,0,1
4,0,0,0,1
22,1,0,0,1
15,0,0,0,1
72,2,4,0,1
14,0,0,0,1
38,0,0,0,1
14,1,0,0,1
12,0,0,0,1
19,0,0,0,1
7,0,0,0,1
24,0,0,0,1
3,1,0,0,1
3,0,0,0,1
18,0,0,0,1
29,0,0,0,1
6,1,0,0,1
3,0,0,0,1
12,0,0,0,1
28,0,0,0,1
9,1,0,0,1
3,0,0,0,1
34,1,0,0,1
11,1,0,0,1
31,1,0,0,1
9,1,1,0,1
11,1,1,0,1
37,0,2,0,1
47,1,0,0,1
39,1,0,0,1
11,0,0,0,1
15,0,0,0,1
12,1,0,0,1
21,0,0,0,1
17,0,0,0,1
23,1,2,0,1
22,0,0,0,1
5,0,0,0,1
19,0,1,0,1
31,0,0,0,1
8,0,0,0,1
20,0,1,0,1
5,0,0,0,1
5,0,0,0,1
3,1,0,0,1
10,0,0,0,1
46,1,0,0,1
45,2,1,0,1
14,1,0,0,1
23,0,0,0,1
12,1,0,0,1
22,0,0,0,1
51,1,0,0,1
20,0,0,0,1
15,1,0,0,1
12,0,0,0,1
17,2,0,0,1
7,0,0,0,1
11,1,0,0,1
30,0,0,0,1
11,0,0,0,1
33,1,1,0,1
8,0,0,0,1
6,1,0,0,1
16,0,0,0,1
10,0,1,0,1
19,0,0,0,1
94,3,1,0,1
9,0,0,0,1
18,1,0,0,1
11,0,0,0,1
14,1,0,0,1
30,1,0,0,1
20,0,0,0,1
20,1,1,0,1
13,0,0,0,1
9,0,0,0,1
9,1,0,0,1
32,1,1,0,1
29,1,1,0,1
25,0,0,0,1
14,1,1,0,1
33,0,0,0,1
6,0,0,0,1
6,0,0,0,1
19,0,0,0,1
14,0,0,0,1
